,actor_id,type,public_repos,public_gists,followers,following
505,1446000,User,1,0,0,0
506,1447245,User,79,20,82,18
507,1448489,User,71,2,18,1
508,1464705,User,9,4,146,47
509,1466284,User,10,1,27,18
510,1466293,User,66,1,128,2
511,1468151,User,18,1,0,0
512,1470602,User,60,0,68,11
513,1471612,User,91,21,52,5
514,1474978,User,445,93,1229,1655
515,1482532,User,75,8,34,11
516,1492044,User,28,1,56,20
517,1498098,User,29,0,505,3
518,1519854,User,3,0,1,0
519,1522652,User,39,0,12,9
520,1527017,User,87,132,91,28
521,1527164,User,10,14,4,1
522,1530031,User,53,3,53,5
523,1532486,User,157,38,136,11
524,1534605,User,58,4,8,9
525,1536740,User,92,64,56,3
526,1546518,User,58,39,160,0
527,1547348,User,24,3,11,5
528,1556219,User,89,0,17,39
529,1565449,User,14,0,11,1
530,1575538,User,33,0,22,0
531,1577185,User,20,1,116,0
532,1580697,User,22,0,100,63
533,1582097,User,151,21,104,18
534,1591700,User,6,1,43,0
535,1593513,User,223,19,0,0
536,1596656,User,66,29,246,31
537,1606434,User,52,1,457,19
538,1608406,User,7,0,15,0
539,1608770,User,19,1,29,10
540,1617424,User,32,56,172,4
541,1622561,User,4,0,13,0
542,1622880,User,34,15,685,2
543,1626430,User,12,1,19,5
544,1628798,User,16,0,22,0
545,1634252,User,51,0,8,0
546,1641976,User,49,9,46,0
547,1646875,User,115,7,177,33
548,1649262,User,26,0,151,11
549,1654763,User,16,9,131,100
550,1656324,User,48,27,278,80
551,1656813,User,18,0,48,0
552,1657213,User,8,2,8,9
553,1657236,User,151,9,162,82
554,1663717,User,28,0,47,22
555,1664927,User,44,4,21,1
556,1665365,User,5,9,13,3
557,1666336,User,22,1,249,1
558,1680226,User,30,0,6,1
559,1681963,User,36,1,40,11
560,1682110,User,14,0,4,3
561,1685068,User,16,2,5,0
562,1689766,User,46,1,35,5
563,1696093,User,82,25,24,3
564,1702435,User,49,1,5,2
565,1702538,User,31,0,11,0
566,1705499,User,15,5,20,1
567,1729331,User,84,0,30,0
568,1741864,User,104,0,7,10
569,1742244,User,9,1,7,4
570,1756620,User,17,3,61,32
571,1758399,User,13,2,6,0
572,1761174,User,67,12,75,22
573,1764210,User,117,33,303,84
574,1770513,User,67,11,31,74
575,1774000,User,36,5,1162,0
576,1785438,User,25,0,1,2
577,1794099,User,69,3,636,0
578,1798418,User,69,144,19,7
579,1805746,User,12,2,24,3
